[2025-03-14 21:36:22,076] [INFO] - G_C_ID = 1028846-14877从表SUM数据共 1 条
[2025-03-14 21:36:22,171] [INFO] - G_C_ID = 1028845-14876从表数据共 3 条
[2025-03-14 21:36:22,186] [INFO] - G_C_ID = 1028845-14876从表SUM数据共 1 条
[2025-03-14 21:36:22,280] [INFO] - G_C_ID = 1028835-14868从表数据共 3 条
[2025-03-14 21:36:22,288] [INFO] - G_C_ID = 1028835-14868从表SUM数据共 1 条
[2025-03-14 21:36:22,378] [INFO] - G_C_ID = 1029368-14886从表数据共 12 条
[2025-03-14 21:36:22,399] [INFO] - G_C_ID = 1029368-14886从表SUM数据共 1 条
[2025-03-14 21:36:22,493] [INFO] - G_C_ID = 1028836-14869从表数据共 3 条
[2025-03-14 21:36:22,506] [INFO] - G_C_ID = 1028836-14869从表SUM数据共 1 条
[2025-03-14 21:36:22,602] [INFO] - G_C_ID = 1028837-14870从表数据共 5 条
[2025-03-14 21:36:22,620] [INFO] - G_C_ID = 1028837-14870从表SUM数据共 1 条
[2025-03-14 21:36:22,715] [INFO] - G_C_ID = 1029378-14891从表数据共 10 条
[2025-03-14 21:36:22,737] [INFO] - G_C_ID = 1029378-14891从表SUM数据共 1 条
[2025-03-14 21:36:22,829] [WARN] - G_C_ID = 1029361-14884 没有对应的从表数据
[2025-03-14 21:36:22,829] [INFO] - G_C_ID = 1029361-14884从表SUM数据共 1 条
[2025-03-14 21:36:22,932] [INFO] - G_C_ID = 1029383-1013386从表数据共 6 条
[2025-03-14 21:36:22,941] [INFO] - G_C_ID = 1029383-1013386从表SUM数据共 1 条
[2025-03-14 21:36:23,033] [INFO] - G_C_ID = 1029065-1013383从表数据共 8 条
[2025-03-14 21:36:23,048] [INFO] - G_C_ID = 1029065-1013383从表SUM数据共 1 条
[2025-03-14 21:36:23,155] [INFO] - G_C_ID = 1029367-1013385从表数据共 6 条
[2025-03-14 21:36:23,170] [INFO] - G_C_ID = 1029367-1013385从表SUM数据共 1 条
[2025-03-14 21:36:23,262] [INFO] - G_C_ID = 1029366-1013384从表数据共 4 条
[2025-03-14 21:36:23,277] [INFO] - G_C_ID = 1029366-1013384从表SUM数据共 1 条
[2025-03-14 21:36:23,280] [INFO] - 从表数据同步完成
[2025-03-14 21:36:23,288] [INFO] - Oracle 数据库连接关闭
[2025-03-14 21:36:23,288] [INFO] - MySQL 数据库连接关闭
[2025-03-14 21:36:23,289] [INFO] - === 数据同步完成 ===1
[2025-03-14 21:37:01,745] [INFO] - === 开始清理 2024-07-02 的数据 ===
[2025-03-14 21:37:01,963] [INFO] - 表 `guestcheckdetailssumrow` 清理完成，影响行数：0
[2025-03-14 21:37:01,965] [INFO] - 表 `guestcheckdetails` 清理完成，影响行数：0
[2025-03-14 21:37:01,966] [INFO] - 表 `guestcheck` 清理完成，影响行数：0
[2025-03-14 21:37:01,967] [INFO] - === 清理数据成功 ===
[2025-03-14 21:37:01,969] [INFO] - === 结束清理数据 ===
[2025-03-14 21:37:01,969] [INFO] - === 开始同步数据 ===
[2025-03-14 21:37:02,499] [INFO] - Oracle 数据库连接成功
[2025-03-14 21:37:02,501] [INFO] - MySQL 数据库连接成功
[2025-03-14 21:37:02,672] [INFO] - 从 Oracle 获取 72 条主表记录
[2025-03-14 21:37:02,768] [INFO] - 主表数据同步完成
[2025-03-14 21:37:03,361] [INFO] - G_C_ID = 1030031-512458从表数据共 11 条
[2025-03-14 21:37:03,392] [INFO] - G_C_ID = 1030031-512458从表SUM数据共 1 条
[2025-03-14 21:37:03,492] [INFO] - G_C_ID = 1030049-512462从表数据共 6 条
[2025-03-14 21:37:03,516] [INFO] - G_C_ID = 1030049-512462从表SUM数据共 1 条
[2025-03-14 21:37:03,612] [WARN] - G_C_ID = 1030040-512459 没有对应的从表数据
[2025-03-14 21:37:03,612] [INFO] - G_C_ID = 1030040-512459从表SUM数据共 1 条
[2025-03-14 21:37:03,711] [WARN] - G_C_ID = 1030041-512460 没有对应的从表数据
[2025-03-14 21:37:03,711] [INFO] - G_C_ID = 1030041-512460从表SUM数据共 1 条
[2025-03-14 21:37:03,810] [WARN] - G_C_ID = 1030046-512461 没有对应的从表数据
[2025-03-14 21:37:03,811] [INFO] - G_C_ID = 1030046-512461从表SUM数据共 1 条
[2025-03-14 21:37:03,919] [INFO] - G_C_ID = 1029640-36975从表数据共 3 条
[2025-03-14 21:37:03,932] [INFO] - G_C_ID = 1029640-36975从表SUM数据共 1 条
[2025-03-14 21:37:04,030] [INFO] - G_C_ID = 1030027-36985从表数据共 7 条
[2025-03-14 21:37:04,044] [INFO] - G_C_ID = 1030027-36985从表SUM数据共 1 条
[2025-03-14 21:37:04,136] [INFO] - G_C_ID = 1029851-36977从表数据共 3 条
[2025-03-14 21:37:04,145] [INFO] - G_C_ID = 1029851-36977从表SUM数据共 1 条
[2025-03-14 21:37:04,235] [INFO] - G_C_ID = 1029895-36981从表数据共 3 条
[2025-03-14 21:37:04,242] [INFO] - G_C_ID = 1029895-36981从表SUM数据共 1 条
[2025-03-14 21:37:04,335] [INFO] - G_C_ID = 1030154-36989从表数据共 4 条
[2025-03-14 21:37:04,348] [INFO] - G_C_ID = 1030154-36989从表SUM数据共 1 条
[2025-03-14 21:37:04,442] [INFO] - G_C_ID = 1030029-36987从表数据共 14 条
[2025-03-14 21:37:04,471] [INFO] - G_C_ID = 1030029-36987从表SUM数据共 1 条
[2025-03-14 21:37:04,563] [INFO] - G_C_ID = 1029865-36979从表数据共 4 条
[2025-03-14 21:37:04,571] [INFO] - G_C_ID = 1029865-36979从表SUM数据共 1 条
[2025-03-14 21:37:04,664] [INFO] - G_C_ID = 1029896-36982从表数据共 4 条
[2025-03-14 21:37:04,675] [INFO] - G_C_ID = 1029896-36982从表SUM数据共 1 条
[2025-03-14 21:37:04,769] [INFO] - G_C_ID = 1029850-36976从表数据共 4 条
[2025-03-14 21:37:04,784] [INFO] - G_C_ID = 1029850-36976从表SUM数据共 1 条
[2025-03-14 21:37:04,879] [INFO] - G_C_ID = 1030008-36983从表数据共 3 条
[2025-03-14 21:37:04,887] [INFO] - G_C_ID = 1030008-36983从表SUM数据共 1 条
[2025-03-14 21:37:04,979] [INFO] - G_C_ID = 1029856-36978从表数据共 3 条
[2025-03-14 21:37:04,989] [INFO] - G_C_ID = 1029856-36978从表SUM数据共 1 条
[2025-03-14 21:37:05,082] [INFO] - G_C_ID = 1030028-36986从表数据共 3 条
[2025-03-14 21:37:05,096] [INFO] - G_C_ID = 1030028-36986从表SUM数据共 1 条
[2025-03-14 21:37:05,192] [INFO] - G_C_ID = 1029887-36980从表数据共 4 条
[2025-03-14 21:37:05,201] [INFO] - G_C_ID = 1029887-36980从表SUM数据共 1 条
[2025-03-14 21:37:05,291] [INFO] - G_C_ID = 1030032-36988从表数据共 4 条
[2025-03-14 21:37:05,302] [INFO] - G_C_ID = 1030032-36988从表SUM数据共 1 条
[2025-03-14 21:37:05,395] [INFO] - G_C_ID = 1030016-36984从表数据共 4 条
[2025-03-14 21:37:05,412] [INFO] - G_C_ID = 1030016-36984从表SUM数据共 1 条
[2025-03-14 21:37:05,505] [INFO] - G_C_ID = 1029628-1060769从表数据共 4 条
[2025-03-14 21:37:05,515] [INFO] - G_C_ID = 1029628-1060769从表SUM数据共 1 条
[2025-03-14 21:37:05,607] [INFO] - G_C_ID = 1029618-14913从表数据共 3 条
[2025-03-14 21:37:05,616] [INFO] - G_C_ID = 1029618-14913从表SUM数据共 1 条
[2025-03-14 21:37:05,707] [INFO] - G_C_ID = 1029626-14919从表数据共 3 条
[2025-03-14 21:37:05,716] [INFO] - G_C_ID = 1029626-14919从表SUM数据共 1 条
[2025-03-14 21:37:05,809] [INFO] - G_C_ID = 1029606-14901从表数据共 3 条
[2025-03-14 21:37:05,823] [INFO] - G_C_ID = 1029606-14901从表SUM数据共 1 条
[2025-03-14 21:37:05,917] [INFO] - G_C_ID = 1029605-14900从表数据共 3 条
[2025-03-14 21:37:05,932] [INFO] - G_C_ID = 1029605-14900从表SUM数据共 1 条
[2025-03-14 21:37:06,027] [INFO] - G_C_ID = 1029633-14921从表数据共 3 条
[2025-03-14 21:37:06,042] [INFO] - G_C_ID = 1029633-14921从表SUM数据共 1 条
[2025-03-14 21:37:06,140] [INFO] - G_C_ID = 1029636-14922从表数据共 3 条
[2025-03-14 21:37:06,155] [INFO] - G_C_ID = 1029636-14922从表SUM数据共 1 条
[2025-03-14 21:37:06,250] [INFO] - G_C_ID = 1029396-14893从表数据共 3 条
[2025-03-14 21:37:06,266] [INFO] - G_C_ID = 1029396-14893从表SUM数据共 1 条
[2025-03-14 21:37:06,361] [INFO] - G_C_ID = 1029397-14894从表数据共 5 条
[2025-03-14 21:37:06,384] [INFO] - G_C_ID = 1029397-14894从表SUM数据共 1 条
[2025-03-14 21:37:06,479] [INFO] - G_C_ID = 1029604-14899从表数据共 3 条
[2025-03-14 21:37:06,493] [INFO] - G_C_ID = 1029604-14899从表SUM数据共 1 条
[2025-03-14 21:37:06,586] [INFO] - G_C_ID = 1029862-14928从表数据共 11 条
[2025-03-14 21:37:06,610] [INFO] - G_C_ID = 1029862-14928从表SUM数据共 1 条
[2025-03-14 21:37:06,703] [INFO] - G_C_ID = 1029645-14926从表数据共 4 条
[2025-03-14 21:37:06,720] [INFO] - G_C_ID = 1029645-14926从表SUM数据共 1 条
[2025-03-14 21:37:06,812] [INFO] - G_C_ID = 1029623-14916从表数据共 3 条
[2025-03-14 21:37:06,819] [INFO] - G_C_ID = 1029623-14916从表SUM数据共 1 条
[2025-03-14 21:37:06,911] [INFO] - G_C_ID = 1029395-14892从表数据共 3 条
[2025-03-14 21:37:06,920] [INFO] - G_C_ID = 1029395-14892从表SUM数据共 1 条
[2025-03-14 21:37:07,016] [INFO] - G_C_ID = 1029622-14915从表数据共 3 条
[2025-03-14 21:37:07,029] [INFO] - G_C_ID = 1029622-14915从表SUM数据共 1 条
[2025-03-14 21:37:07,151] [INFO] - G_C_ID = 1029619-14914从表数据共 3 条
[2025-03-14 21:37:07,164] [INFO] - G_C_ID = 1029619-14914从表SUM数据共 1 条
[2025-03-14 21:37:07,258] [INFO] - G_C_ID = 1030033-14934从表数据共 4 条
[2025-03-14 21:37:07,272] [INFO] - G_C_ID = 1030033-14934从表SUM数据共 1 条
[2025-03-14 21:37:07,367] [INFO] - G_C_ID = 1029600-14897从表数据共 3 条
[2025-03-14 21:37:07,383] [INFO] - G_C_ID = 1029600-14897从表SUM数据共 1 条
